Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Strokes,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Walking,2021-12-28 20:57:40,false,"Washington County Walking","2.01","238","00:46:38","99","114","1.1","89","159","23:15","15:18","23","22","0.79","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","00:26.54","3","0.0","00:35:45","01:17:47","193","217"
Running,2021-12-28 16:54:31,false,"Washington County Running","3.20","365","00:28:11","155","173","4.0","173","186","8:49","7:29","43","44","1.06","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","01:43.32","4","0.0","00:27:54","00:34:20","184","221"
Running,2021-12-26 16:11:21,false,"Washington County Running","3.19","353","00:28:43","149","172","3.7","173","184","9:00","7:21","44","43","1.03","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","01:34.66","4","0.0","00:28:25","00:34:43","184","220"
Running,2021-12-24 13:16:35,false,"Washington County Running","3.15","327","00:26:48","147","178","3.7","172","191","8:31","5:53","37","42","1.10","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","01:13.24","4","0.0","00:26:22","00:34:45","184","220"
Walking,2021-12-22 19:57:07,false,"Washington County Walking","2.01","223","00:40:02","103","118","1.2","100","140","19:57","12:40","18","22","0.81","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","00:15.46","3","0.0","00:35:41","00:40:02","193","217"
Running,2021-12-21 16:32:52,false,"Washington County Running","3.14","334","00:27:02","150","180","3.8","172","185","8:36","6:53","21","31","1.09","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","01:10.14","4","0.0","00:26:24","00:34:37","184","220"
Walking,2021-12-14 17:37:31,false,"Washington County Walking","2.01","237","00:45:45","97","110","1.0","83","136","22:46","14:22","16","16","0.85","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","00:13.67","3","0.0","00:35:32","00:45:45","193","217"
Running,2021-12-14 16:33:54,false,"Washington County Running","3.19","356","00:27:09","147","184","4.0","170","189","8:31","5:54","34","41","1.11","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","01:35.61","4","0.0","00:26:39","00:33:28","157","220"
Walking,2021-12-13 12:41:47,false,"Washington County Walking","1.01","132","00:24:05","102","115","0.7","83","139","23:47","2:29","10","10","0.82","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","00:27.50","2","0.0","00:17:51","00:24:05","204","217"
Walking,2021-12-12 18:39:10,false,"Washington County Walking","2.01","229","00:45:43","94","108","1.0","81","155","22:45","14:36","19","22","0.88","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","00:31.89","3","0.0","00:35:00","00:45:43","193","217"
Walking,2021-12-11 18:32:09,false,"Washington County Walking","2.01","215","00:43:18","93","111","0.9","85","157","21:33","14:06","20","23","0.89","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","00:47.17","3","0.0","00:33:59","00:43:18","194","217"
Running,2021-12-09 16:47:27,false,"Washington County Running","3.16","329","00:27:02","143","173","3.4","168","184","8:33","7:01","35","37","1.12","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","01:19.51","4","0.0","00:26:13","00:37:31","184","220"
Walking,2021-12-07 16:15:55,false,"Washington County Walking","2.03","208","00:46:55","86","110","0.5","90","136","23:10","15:08","18","21","0.77","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","00:35.87","3","0.0","00:38:51","00:47:43","193","217"
Walking,2021-12-05 14:28:16,false,"Washington County Walking","1.07","117","00:39:25","63","94","0.2","61","224","36:57","16:31","11","12","0.78","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","09:46.56","2","0.0","00:23:39","00:39:25","204","217"
Walking,2021-12-04 17:24:23,false,"Washington County Walking","2.01","249","00:47:08","103","127","1.0","80","189","23:28","14:49","16","20","0.86","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","00:20.36","3","0.0","00:34:03","00:47:08","194","217"
Walking,2021-12-03 20:53:11,false,"Washington County Walking","2.01","237","00:41:40","100","117","1.2","89","155","20:45","12:23","18","23","0.87","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","00:15.02","3","0.0","00:34:10","00:41:49","193","217"
